,job name,posted time,job time,job address,company name,link
52,Senior Data Analyst - Business Intelligence,2 months ago,Full Time,"Maadi, Cairo, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/FdG6WamryKOU-Senior-Data-Analyst---Business-Intelligence-Cairo-Egypt?o=53&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
53,Financial Planning & Analysis,1 month ago,Full Time,"Sheikh Zayed, Giza, Egypt ",Mozare3 ,https://wuzzuf.net/jobs/p/Zm20S7RPchIw-Financial-Planning-Analysis-Mozare3-Giza-Egypt?o=54&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
54,Advanced Junior Financial Data Analyst,2 months ago,Full Time,"Nasr City, Cairo, Egypt ",Z2 Data ,https://wuzzuf.net/jobs/p/uDOq5pUnCS0S-Advanced-Junior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=55&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
55,Social Media Specialist,29 days ago,Full Time,"Mohandessin, Giza, Egypt ",Riyadh Fertility Center ,https://wuzzuf.net/jobs/p/kMnRBPNFPY2E-Social-Media-Specialist-Riyadh-Fertility-Center-Giza-Egypt?o=56&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
56,Market Research Analyst,1 month ago,Full Time,"10th of Ramadan City, Sharqia, Egypt ",Guardian Glass ,https://wuzzuf.net/jobs/p/83qlVEErGjOy-Market-Research-Analyst-Guardian-Glass-Sharqia-Egypt?o=57&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
57,Business Data Administrator (KSA),2 months ago,Full Time,"Riyadh, Saudi Arabia ",Confidential ,https://wuzzuf.net/jobs/p/twClZ8jLx53y-Business-Data-Administrator-KSA-Riyadh-Saudi-Arabia?o=58&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
58,Cost Control Section Head,1 month ago,Full Time,"Maadi, Cairo, Egypt ",Andalusia Group ,https://wuzzuf.net/jobs/p/pbPt4IMPx7Uo-Cost-Control-Section-Head-Andalusia-Group-Cairo-Egypt?o=59&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
59,Business Data Analyst,2 months ago,Full Time,"Smart Village, Giza, Egypt ",Fawry Plus ,https://wuzzuf.net/jobs/p/R8iqlBsI38Af-Business-Data-Analyst-Fawry-Plus-Giza-Egypt?o=60&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
60,Data Analyst,3 days ago,Full Time,"Nasr City, Cairo, Egypt ",Unimix Egypt for Readymix concrete ,https://wuzzuf.net/jobs/p/dIieJT5piZvq-Data-Analyst-Unimix-Egypt-for-Readymix-concrete-Cairo-Egypt?o=61&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
61,Data Analyst,7 days ago,Full Time,"6th of October, Giza, Egypt ",Olam SVI ,https://wuzzuf.net/jobs/p/SqZCjDBkUe22-Data-Analyst-Olam-SVI-Giza-Egypt?o=62&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
